bootstrap,auc_boot,auc_original,brier_boot,brier_original,calibration_intercept_boot,calibration_intercept_original,calibration_slope_boot,calibration_slope_original
126,0.9949048152295633,0.979430942501482,0.036676581245940525,0.058997399639089516,0.020299720445146965,-0.2605265992154511,2.657352947852076,2.201108213173849
127,0.9978128237596408,0.9609958506224067,0.03526260225977915,0.06008676001042824,-0.3951235444562362,-0.09243812106774763,3.746357342507622,2.1116431094633685
128,0.9969333515060652,0.973918197984588,0.037632147937221375,0.057752490486913,-0.20677787546914667,0.19104236046913128,4.5924754144776125,2.39682304474487
129,0.9988988210908148,0.9522821576763485,0.026684014569890356,0.061123856814728636,-0.6359204093333086,-0.3048438923764438,4.662785391474537,1.6038700916490458
130,0.996244131455399,0.958684054534677,0.030651466844976515,0.061585362802181395,-0.4678191786229038,-0.24539671674024974,2.7187389366472687,1.676204290568183
131,0.9967767929089443,0.9659751037344398,0.033093663677961016,0.05963489562459238,0.10672461610555459,0.023937701346670986,3.3395848101424046,1.9085406953604103
132,0.9967841682127396,0.9710136336692353,0.03960336876470193,0.06192306152702852,-0.2872967406460064,-0.4000775718893381,4.130779947417545,2.327388069610943
133,0.9962275819418676,0.9780082987551867,0.04174028642645997,0.06058396233054645,0.42741846324918364,0.008120995052515095,4.456101761244943,2.3257242147150383
134,0.9967061923583663,0.9621813870776527,0.03034638416938047,0.05777459529158111,-0.16883777319906293,-0.03482027507017421,3.2469555217943116,1.8286113550051752
135,0.9958158995815898,0.9651452282157675,0.03752842935441952,0.0564450221428901,0.01035621237185704,0.187933179206734,3.180231044770257,2.1155159200650657
136,0.9980985812490858,0.9488441019561352,0.02845193161146426,0.060583765339596016,-1.3212878282542329,-0.12578289779210236,3.353123365939709,1.6950575009501967
137,0.9967990515708358,0.9637225844694725,0.03163320766301145,0.056272536967833124,-0.389359595829734,-0.11931217687416515,3.1230255869486294,1.8369442061723844
138,0.9964725643896978,0.9848844101956136,0.045709645146169764,0.06501717689685917,0.36172629447745236,-0.643698219481252,3.9942552453145574,2.544709674056572
139,0.9958248987854251,0.9590397154712507,0.03288021559493672,0.05874934628866688,-0.14393146087438352,-0.14383383046825876,3.001488350597876,1.879545251570305
140,0.9948889191767752,0.9639596917605217,0.040669598983389454,0.06214250414263791,-0.5155515970739977,-0.24222236355702442,3.326746327120973,2.2136487206848523
141,0.995039343140609,0.9714878482513337,0.036069400194027754,0.06055221550231814,-0.21036544007743765,-0.5256285386875702,2.850771372510623,1.8863150242108826
142,0.9950727883538634,0.9852993479549497,0.044358631132542195,0.057658132159294495,0.34746087365818523,0.11988591890773818,3.554597309820887,2.851430174517861
143,0.9950293448317163,0.9701244813278008,0.036551031530229,0.05737207046276313,0.10403009220483737,0.2098186810340156,3.1307401063770186,2.1305319424542923
144,0.998587570621469,0.9611144042679312,0.027295050638119635,0.05385813592420755,-0.6219968602320656,0.24573886133105535,3.7696682640527848,1.9767236765949878
145,0.9957181306581845,0.9696502667457024,0.04094194979119054,0.06095288615153684,-0.3790871487153387,-0.4173259581344558,3.4003913882277312,2.1597271225312262
146,0.9977049180327868,0.949614700652045,0.027154353297884317,0.06277014168450024,-0.22811838944238758,-0.19894701183412036,3.160340220080083,1.5600935957699382
147,0.9954225352112676,0.9807943094250148,0.041880874174032356,0.057561207933930374,0.3665203669968724,0.07086415794930534,3.5026701061594503,2.6597990743564344
148,0.996830985915493,0.9627741553052755,0.03338793456872942,0.05633000677423007,-0.3127428507286847,0.009777640316289563,2.9802048624986157,1.9480845282351236
149,0.9965589965589965,0.9682868998221695,0.040467238709398036,0.0585942689592267,-0.13776164760933002,-0.17839069372730315,3.767639849663952,2.2914691928391613
150,0.9943593875906527,0.9879075281564909,0.049332396235367025,0.061181096582147744,0.20013357825386086,-0.26825499610372633,3.9185647115183038,3.107774629723783
151,0.9965619442797867,0.9738589211618258,0.0351533559604929,0.056539924922673034,-0.021202099036157784,-0.022457655608666513,3.103526762900502,2.2422353103998307
152,0.9952090070667146,0.9704801422643745,0.03315159655740686,0.05834455761282917,-0.09544443219524866,0.11127681151932349,2.6235198238340947,2.0067511169261443
153,0.9983464477135363,0.9674570243034972,0.03661881650969423,0.05896324504950089,-0.32090456749284224,0.031961263766867795,5.703326806848363,2.365907152725742
154,0.9949343339587242,0.9767634854771784,0.039479473129989506,0.0570829085581947,0.002806480451044962,0.477887248836792,3.4749548578508147,2.6542177451540705
155,0.995228774161977,0.9730883224659158,0.041382703791090415,0.060924556992564084,-0.2872631424385311,-0.416059184562095,3.034534620008709,2.051693421343847
156,0.9950738916256158,0.9740367516301126,0.03457135472913804,0.06046120097318561,-0.08138510696920974,-0.31073242943414314,2.434515795240492,1.7725702363354494
157,0.9958355023425298,0.9723770005927683,0.038616454261627145,0.05607776318562855,-0.04067695936581874,-0.4626622951611481,3.577091384851893,2.056395448599467
158,0.9971556523844104,0.9654416123295791,0.035343395334274434,0.057334878678627334,-0.7794238206907348,-0.2853232174584514,3.1313541776714007,1.9642711640162802
159,0.9966041211004951,0.9747480735032602,0.037786140624741255,0.06254830338044576,-0.1978458966967186,-0.48174542127285813,3.373726800333935,2.1604340601261245
160,0.9986559139784945,0.9728512151748667,0.036470143192053314,0.060933804554915684,0.5660469798744793,0.23619057664181262,4.47672952687485,2.543222361599943
161,0.994170229304314,0.9694131594546532,0.03906722580034446,0.059934099156154594,-0.25624872065375986,0.10264007900526886,3.0691758367265773,2.340072749938114
162,0.9950960077358751,0.9730290456431535,0.03873834411946402,0.06085604677742638,0.1401245215588143,0.08158596087888709,3.199161210763533,2.3201002526796897
163,0.9956415620641562,0.9617664493183165,0.036965187176926956,0.05750824888673042,-0.5792368763643263,-0.3344997753507638,3.245063309359279,1.909434363794873
164,0.9927213114754099,0.9682276229994073,0.039103341078026356,0.06025993297327851,-0.3543895616632099,0.027494355821255412,2.50989530507747,2.059441371709727
165,0.9947516641065027,0.9783046828689983,0.035426491223628405,0.05724154821751597,-0.05054501674880158,-0.09569394468295482,2.6964344039401773,2.121355904564689
